Zeit  1 - Standardmessrate [s]	ZwickWeg [mm]	ZwickKraft [N]	Pyrometer [°C]	Maytec [mm]
0	-0,9965	152,22	150,13	-0,00648	
0,02000	-0,9965	152,35	150,12	-0,00646	
0,04000	-0,9965	152,34	150,12	-0,00647	
0,06000	-0,9965	152,24	150,12	-0,00662	
0,08000	-0,9965	152,19	150,13	-0,00677	
0,1000	-0,9965	152,18	150,12	-0,00674	
0,1200	-0,9965	152,22	150,12	-0,00664	
0,1400	-0,9965	152,24	150,12	-0,00659	
0,1600	-0,9965	152,21	150,13	-0,00658	
0,1800	-0,9965	152,26	150,12	-0,00654	
0,2000	-0,9965	152,35	150,12	-0,00648	
0,2200	-0,9965	152,29	150,12	-0,00653	
0,2400	-0,9965	152,19	150,12	-0,00664	
0,2600	-0,9965	152,17	150,12	-0,00661	
0,2800	-0,9965	152,21	150,12	-0,00656	
0,3000	-0,9965	152,27	150,13	-0,00649	
0,3200	-0,9965	152,35	150,13	-0,00645	
0,3400	-0,9965	152,30	150,12	-0,00649	
0,3600	-0,9965	152,19	150,12	-0,00652	
0,3800	-0,9965	152,12	150,13	-0,00661	
0,4000	-0,9965	152,17	150,12	-0,00681	
0,4200	-0,9965	152,26	150,12	-0,00686	
0,4400	-0,9965	152,37	150,12	-0,00676	
0,4600	-0,9965	152,43	150,13	-0,00662	
0,4800	-0,9965	152,40	150,13	-0,00643	
0,5000	-0,9965	152,45	150,12	-0,00636	
0,5200	-0,9965	152,46	150,12	-0,00648	
0,5400	-0,9965	152,46	150,12	-0,00657	
0,5600	-0,9965	152,47	150,12	-0,00670	
0,5800	-0,9965	152,40	150,12	-0,00676	
0,6000	-0,9965	152,37	150,12	-0,00668	
0,6200	-0,9965	152,38	150,13	-0,00654	
0,6400	-0,9965	152,33	150,12	-0,00645	
0,6600	-0,9965	152,21	150,12	-0,00636	
0,6800	-0,9965	152,25	150,12	-0,00637	
0,7000	-0,9965	152,33	150,13	-0,00652	
0,7200	-0,9965	152,33	150,12	-0,00672	
0,7400	-0,9965	152,32	150,12	-0,00680	
0,7600	-0,9965	152,33	150,12	-0,00669	
0,7800	-0,9965	152,30	150,13	-0,00660	
0,8000	-0,9965	152,32	150,12	-0,00654	
0,8200	-0,9965	152,35	150,12	-0,00648	
0,8400	-0,9965	152,27	150,12	-0,00640	
0,8600	-0,9965	152,27	150,13	-0,00643	
0,8800	-0,9965	152,31	150,12	-0,00658	
0,9000	-0,9965	152,36	150,12	-0,00671	
0,9200	-0,9965	152,32	150,12	-0,00670	
0,9400	-0,9965	152,31	150,13	-0,00656	
0,9600	-0,9965	152,32	150,12	-0,00643	
0,9800	-0,9965	152,33	150,12	-0,00631	
1,000	-0,9965	152,38	150,12	-0,00628	
1,020	-0,9965	152,42	150,12	-0,00644	
1,040	-0,9965	152,37	150,12	-0,00665	
1,060	-0,9965	152,31	150,12	-0,00672	
1,080	-0,9965	152,27	150,12	-0,00665	
1,100	-0,9965	152,25	150,12	-0,00651	
1,120	-0,9965	152,30	150,12	-0,00644	
1,140	-0,9965	152,33	150,12	-0,00645	
1,160	-0,9965	152,34	150,12	-0,00648	
1,180	-0,9965	152,36	150,13	-0,00650	
1,200	-0,9965	152,42	150,12	-0,00655	
1,220	-0,9965	152,43	150,12	-0,00664	
1,240	-0,9965	152,40	150,12	-0,00670	
1,260	-0,9965	152,35	150,13	-0,00664	
1,280	-0,9965	152,32	150,13	-0,00653	
1,300	-0,9965	152,30	150,12	-0,00643	
1,320	-0,9965	152,29	150,13	-0,00635	
1,340	-0,9965	152,34	150,13	-0,00639	
1,360	-0,9965	152,40	150,12	-0,00661	
1,380	-0,9965	152,44	150,12	-0,00674	
1,400	-0,9965	152,44	150,13	-0,00670	
1,420	-0,9965	152,43	150,13	-0,00664	
1,440	-0,9965	152,41	150,12	-0,00655	
1,460	-0,9965	152,41	150,12	-0,00646	
1,480	-0,9965	152,43	150,13	-0,00646	
1,500	-0,9965	152,39	150,12	-0,00651	
1,520	-0,9965	152,32	150,12	-0,00655	
1,540	-0,9965	152,28	150,13	-0,00665	
1,560	-0,9965	152,32	150,13	-0,00672	
1,580	-0,9965	152,36	150,12	-0,00668	
1,600	-0,9965	152,39	150,12	-0,00659	
1,620	-0,9965	152,40	150,13	-0,00654	
1,640	-0,9965	152,44	150,13	-0,00649	
1,660	-0,9965	152,44	150,12	-0,00645	
1,680	-0,9965	152,39	150,12	-0,00650	
1,700	-0,9965	152,35	150,13	-0,00662	
1,720	-0,9965	152,33	150,12	-0,00670	
1,740	-0,9965	152,31	150,12	-0,00673	
1,760	-0,9965	152,29	150,12	-0,00662	
1,780	-0,9965	152,28	150,12	-0,00646	
1,800	-0,9965	152,30	150,12	-0,00637	
1,820	-0,9965	152,34	150,12	-0,00639	
1,840	-0,9965	152,39	150,13	-0,00651	
1,860	-0,9965	152,42	150,13	-0,00664	
1,880	-0,9965	152,42	150,12	-0,00674	
1,900	-0,9965	152,39	150,12	-0,00676	
1,920	-0,9965	152,34	150,12	-0,00664	
1,940	-0,9965	152,35	150,13	-0,00653	
1,960	-0,9965	152,36	150,12	-0,00646	
1,980	-0,9965	152,37	150,12	-0,00642	
2,000	-0,9965	152,33	150,13	-0,00647	
2,020	-0,9965	152,31	150,12	-0,00659	
2,040	-0,9965	152,30	150,12	-0,00669	
2,060	-0,9965	152,26	150,12	-0,00675	
2,080	-0,9965	152,32	150,13	-0,00671	
2,100	-0,9965	152,35	150,12	-0,00662	
2,120	-0,9965	152,31	150,12	-0,00658	
2,140	-0,9965	152,29	150,12	-0,00654	
2,160	-0,9965	152,26	150,13	-0,00652	
2,180	-0,9965	152,24	150,12	-0,00656	
2,200	-0,9965	152,26	150,12	-0,00667	
2,220	-0,9965	152,25	150,12	-0,00675	
2,240	-0,9965	152,30	150,13	-0,00670	
2,260	-0,9965	152,36	150,12	-0,00659	
2,280	-0,9965	152,37	150,12	-0,00650	
2,300	-0,9965	152,30	150,12	-0,00648	
2,320	-0,9965	152,24	150,13	-0,00649	
2,340	-0,9965	152,23	150,12	-0,00657	
2,360	-0,9965	152,30	150,12	-0,00668	
2,380	-0,9965	152,26	150,12	-0,00672	
2,400	-0,9965	152,18	150,13	-0,00672	
2,420	-0,9965	152,21	150,12	-0,00663	
2,440	-0,9965	152,27	150,12	-0,00650	
2,460	-0,9965	152,29	150,12	-0,00641	
2,480	-0,9965	152,25	150,12	-0,00644	
2,500	-0,9965	152,35	150,12	-0,00657	
2,520	-0,9965	152,46	150,12	-0,00666	
2,540	-0,9965	152,44	150,12	-0,00663	
2,560	-0,9965	152,42	150,12	-0,00663	
2,580	-0,9965	152,40	150,12	-0,00660	
2,600	-0,9965	152,39	150,12	-0,00648	
2,620	-0,9965	152,36	150,12	-0,00644	
2,640	-0,9965	152,31	150,12	-0,00643	
2,660	-0,9965	152,28	150,12	-0,00648	
2,680	-0,9965	152,25	150,12	-0,00663	
2,700	-0,9965	152,31	150,12	-0,00669	
2,720	-0,9965	152,33	150,12	-0,00670	
2,740	-0,9965	152,31	150,12	-0,00664	
2,760	-0,9965	152,39	150,12	-0,00654	
2,780	-0,9965	152,49	150,13	-0,00646	
2,800	-0,9965	152,42	150,12	-0,00644	
2,820	-0,9965	152,33	150,12	-0,00648	
2,840	-0,9965	152,34	150,12	-0,00653	
2,860	-0,9965	152,38	150,13	-0,00654	
2,880	-0,9965	152,37	150,12	-0,00656	
2,900	-0,9965	152,33	150,12	-0,00656	
2,920	-0,9965	152,37	150,12	-0,00648	
2,940	-0,9965	152,44	150,12	-0,00638	
2,960	-0,9965	152,43	150,12	-0,00637	
2,980	-0,9965	152,39	150,12	-0,00637	
3,000	-0,9965	152,39	150,12	-0,00645	
3,020	-0,9965	152,34	150,12	-0,00661	
3,040	-0,9965	152,33	150,12	-0,00670	
3,060	-0,9965	152,34	150,12	-0,00667	
3,080	-0,9965	152,30	150,12	-0,00662	
3,100	-0,9965	152,24	150,12	-0,00652	
3,120	-0,9965	152,21	150,12	-0,00643	
3,140	-0,9965	152,21	150,12	-0,00642	
3,160	-0,9965	152,25	150,12	-0,00652	
3,180	-0,9965	152,30	150,12	-0,00659	
3,200	-0,9965	152,34	150,12	-0,00665	
3,220	-0,9965	152,34	150,12	-0,00670	
3,240	-0,9965	152,36	150,12	-0,00671	
3,260	-0,9965	152,32	150,12	-0,00668	
3,280	-0,9965	152,29	150,12	-0,00659	
3,300	-0,9965	152,29	150,12	-0,00649	
3,320	-0,9965	152,24	150,12	-0,00647	
3,340	-0,9965	152,20	150,12	-0,00657	
3,360	-0,9965	152,26	150,12	-0,00666	
3,380	-0,9965	152,31	150,12	-0,00674	
3,400	-0,9965	152,33	150,12	-0,00674	
3,420	-0,9965	152,28	150,12	-0,00662	
3,440	-0,9965	152,24	150,13	-0,00654	
3,460	-0,9965	152,28	150,12	-0,00649	
3,480	-0,9965	152,27	150,12	-0,00647	
3,500	-0,9965	152,31	150,13	-0,00638	
3,520	-0,9965	152,34	150,12	-0,00642	
3,540	-0,9965	152,30	150,12	-0,00662	
3,560	-0,9965	152,25	150,12	-0,00677	
3,580	-0,9965	152,21	150,13	-0,00677	
3,600	-0,9965	152,21	150,12	-0,00668	
3,620	-0,9965	152,27	150,12	-0,00655	
3,640	-0,9965	152,35	150,12	-0,00644	
3,660	-0,9965	152,38	150,12	-0,00645	
3,680	-0,9965	152,40	150,12	-0,00654	
3,700	-0,9965	152,37	150,12	-0,00667	
3,720	-0,9965	152,31	150,12	-0,00674	
3,740	-0,9965	152,29	150,13	-0,00682	
3,760	-0,9965	152,26	150,12	-0,00675	
3,780	-0,9965	152,22	150,12	-0,00660	
