40 3 3 6  2007
514 731 9638 9638 9638 9638 9638 9638 9638 0.46 0.49 0.8 1.04 
807 459 388 221 167 94 154 148 104 194 16 11 10 6 0.12 0.83 0.93 0.7 
551 244 410 214 196 114 136 133 205 50 10 15 9 5 0.97 1.23 0.79 1 
134 723 624 545 79 175 161 193 208 175 15 10 9 4 0.09 0.61 0.13 0.74 
957 129 486 337 149 83 162 152 62 128 14 9 8 4 0.28 0.35 1.17 1.3 
834 751 328 241 87 73 164 111 118 77 19 10 10 4 0.46 0.43 0.27 0.52 
883 403 507 338 169 126 120 43 138 87 12 11 8 6 0.11 0.97 0.82 0.63 
6 251 404 328 76 127 202 151 40 191 10 9 10 6 0.66 0.64 1.08 0.72 
265 678 612 436 176 134 57 204 86 56 11 13 7 6 0.15 1.25 0.81 1.02 
696 506 324 209 115 162 70 69 142 49 14 15 7 5 0.04 1.04 0.37 0.92 
931 537 591 546 45 118 180 40 197 155 18 15 6 5 0.04 0.22 1.27 0.67 
391 75 386 323 63 193 110 49 172 135 12 10 9 6 0.1 1.15 0.39 0.12 
275 408 618 419 199 206 38 90 129 157 13 15 7 6 0.37 0.26 0.37 0.71 
963 245 338 169 169 65 53 88 76 107 12 14 10 6 0.02 0.81 0.51 1.28 
225 7 492 328 164 30 67 105 128 42 14 11 9 5 0.51 0.63 1.09 0.45 
80 90 561 374 187 125 175 129 170 63 14 10 9 4 0.5 0.74 0.31 0.66 
216 568 492 346 146 34 81 164 111 133 13 13 9 4 0.36 0.57 1.01 1.25 
244 886 573 382 191 92 73 177 138 125 11 13 8 5 0.85 0.56 0.89 0.9 
642 421 378 189 189 68 134 165 110 116 17 10 9 4 0.02 0.66 0.79 0.36 
508 793 374 228 146 80 51 187 79 59 12 10 8 6 0.2 0.34 1.11 0.51 
125 954 302 221 81 151 50 54 124 31 14 11 8 5 0.34 0.71 0.71 1 
604 392 294 168 126 77 136 147 80 81 15 12 10 4 0.18 0.66 0.57 1.02 
578 828 549 442 107 119 183 99 41 32 12 12 7 5 0.41 1.03 0.68 0.87 
105 229 406 203 203 123 192 31 45 34 12 14 8 6 0.56 0.74 0.9 0.94 
835 255 543 362 181 144 68 106 132 150 19 10 7 6 0.1 0.33 1.31 0.87 
913 196 372 272 100 124 67 60 117 88 19 12 7 6 0.75 1.05 0.94 0.25 
196 336 600 432 168 179 49 185 200 117 15 11 9 4 0.84 1.16 0.37 0.62 
136 468 597 402 195 125 75 163 117 199 15 12 10 5 0.98 1.04 0.54 0.7 
262 227 418 267 151 209 204 163 97 199 16 10 6 6 0.01 0.52 1.37 0.85 
379 454 370 258 112 159 176 185 58 57 15 10 7 4 0.66 0.57 0.99 0.11 
481 595 406 268 138 203 47 132 110 179 13 14 11 4 0.01 0.34 0.27 0.5 
431 990 412 319 93 206 86 51 56 111 11 15 10 6 0.51 0.24 0.61 0.83 
884 244 462 308 154 56 48 47 126 37 17 9 7 6 0.1 0.45 0.68 1.04 
612 591 286 143 143 116 95 60 44 91 19 11 10 4 0.68 0.44 0.14 0.05 
245 345 390 214 176 73 191 195 128 170 18 10 10 6 0.11 1.06 0.66 0.8 
787 490 308 195 113 69 126 70 154 87 10 11 11 5 0.26 0.22 1.14 0.68 
272 900 334 302 32 123 46 167 31 62 17 10 11 5 0.17 1.32 1.16 1.26 
947 424 364 309 55 182 113 40 152 166 18 11 8 4 0.61 0.55 1.08 1.4 
684 536 627 550 77 173 209 32 149 51 14 11 8 4 0.46 0.47 0.49 0.61 
445 552 150 83 67 42 75 65 40 43 16 13 8 5 0.65 0.22 1.26 1.03 
759 349 621 540 81 149 127 207 157 94 12 12 8 6 0.41 0.8 0.72 0.73 
