20 2 2 3  1572
738 225 5032 5032 5032 5032 0.93 1.2 0.08 
839 564 356 251 105 55 178 10 10 5 0.34 1.14 1.23 
617 919 558 372 186 140 120 19 8 5 0.85 0.38 0.92 
869 912 408 204 204 126 169 19 12 6 0.95 0.11 1.16 
297 665 255 175 80 85 62 12 9 6 0 0.49 0.32 
165 903 334 259 75 163 167 16 12 4 0.06 1.21 0.99 
254 517 624 545 79 208 165 16 8 5 0.15 0.37 0.65 
814 187 183 130 53 31 61 16 9 4 0.73 0.22 0.61 
305 812 609 510 99 74 203 15 10 4 0.75 0.7 0.48 
529 334 294 248 46 81 147 12 9 5 0.73 0.4 0.27 
596 105 600 422 178 105 200 13 8 6 0.02 0.07 0.83 
975 765 456 373 83 152 30 11 10 6 0.77 1.04 1.24 
209 105 304 173 131 121 152 12 9 6 0.31 0.64 0.3 
466 310 585 506 79 164 195 17 9 5 0.32 1.21 0.61 
864 516 609 546 63 117 203 11 13 4 0.67 1.01 0.54 
174 760 300 153 147 118 150 11 11 6 0.4 0.29 1.08 
211 97 480 320 160 36 83 10 8 6 0 0.26 0.98 
581 362 309 206 103 64 52 17 10 6 0.29 0.45 0.55 
896 607 236 118 118 114 110 13 12 6 0.37 0.73 0.62 
123 276 426 312 114 34 142 19 12 6 0.21 0.47 0.08 
358 36 394 197 197 70 156 12 7 4 0.78 0.06 0.83 
