50 5 3 10  2488
424 496 11944 11944 11944 11944 11944 11944 11944 11944 11944 11944 11944 0.4 1 1.19 0.44 0.46 0.88 
908 144 328 186 142 39 33 141 164 118 89 83 98 74 13 14 9 8 8 5 0.7 0.4 0.92 0.99 1.18 0.32 
899 964 615 415 200 97 64 117 205 72 181 201 114 104 12 14 13 9 7 4 0.67 0.97 0.79 0.85 1.05 0.21 
524 297 370 212 158 105 34 104 56 185 81 82 124 155 15 15 8 11 8 5 0.27 1.02 1.05 0.9 1.06 0.92 
34 98 627 426 201 55 74 146 209 130 195 189 189 112 18 9 12 9 8 4 0.97 0.44 0.81 1.09 1.08 0.18 
724 823 615 445 170 162 141 72 89 127 122 166 205 92 13 12 9 7 9 5 0.02 0.97 0.68 0.47 1.21 0.93 
861 300 567 380 187 59 189 70 142 66 45 136 100 188 16 12 9 10 8 5 0.07 1.1 1.28 1.25 1 1.4 
960 665 402 201 201 181 59 179 108 192 131 91 79 67 15 13 10 8 8 5 0.15 1.16 0.62 0.49 0.82 0.95 
721 149 382 233 149 191 164 59 105 164 184 113 99 170 16 14 10 9 9 5 0.26 0.36 0.31 0.65 0.99 0.57 
252 539 330 298 32 76 71 44 142 72 165 85 39 123 18 10 11 8 8 6 0.68 0.44 1.33 0.44 0.95 0.7 
61 608 346 173 173 69 69 87 31 41 46 32 109 167 14 9 12 11 6 4 0.66 0.75 0.98 0.13 0.9 0.49 
841 979 368 221 147 135 179 156 79 60 184 59 38 158 11 14 9 10 9 6 0.06 1.08 0.42 0.37 0.67 0.8 
388 281 402 312 90 79 166 90 77 127 201 86 33 165 15 17 12 10 8 6 0.91 1.15 0.72 0.79 0.47 0.82 
439 883 588 457 131 130 46 86 196 34 187 189 137 64 13 16 14 9 6 6 0.55 0.54 0.44 1.2 0.36 1.38 
547 53 483 428 55 87 94 141 66 146 156 147 161 31 10 9 10 11 6 5 0.78 0.87 0.91 0.49 0.85 0.24 
466 454 316 226 90 47 121 92 84 148 85 150 127 158 14 10 10 7 7 4 0.99 0.33 0.83 1.14 1.06 1.1 
303 858 615 410 205 59 191 205 81 38 159 96 69 45 10 11 8 10 8 6 0.43 0.82 1.04 0.82 0.88 1.17 
718 349 597 465 132 125 59 199 90 75 98 35 178 190 13 14 14 9 8 5 0.53 0.56 1 0.87 1.39 1.01 
467 825 396 242 154 141 180 134 152 198 75 179 151 128 18 15 9 8 7 6 0.39 0.66 0.55 0.63 1.02 1.24 
995 54 360 237 123 114 166 94 97 65 159 59 165 180 11 10 12 10 6 4 0.8 0.37 0.47 1.37 1.27 0.74 
830 556 418 240 178 209 81 200 60 156 94 159 116 157 16 16 9 7 6 4 0.47 1.01 1.03 0.54 0.95 0.57 
501 448 408 221 187 133 204 135 60 34 191 139 53 49 18 12 13 8 6 6 0.78 0.93 0.33 0.97 0.29 0.86 
81 130 621 560 61 111 146 80 41 207 201 41 137 99 13 14 9 7 8 4 0.37 0.84 0.36 0.84 0.04 0.54 
22 478 418 209 209 140 97 99 133 78 181 69 35 114 14 15 10 9 8 6 0 0.06 0.56 1.11 0.55 0.18 
887 183 322 172 150 49 149 106 155 32 65 97 92 161 15 11 10 10 6 6 0.95 0.8 0.12 1.41 0.46 0.93 
