20 3 2 6  1574
770 294 5038 5038 5038 5038 5038 5038 5038 0.25 1.22 1.1 0.66 
610 703 350 225 125 56 146 149 175 65 10 14 10 6 0.23 1.02 0.6 0.59 
575 831 537 492 45 153 94 168 179 104 18 12 7 6 0.13 0.43 0.14 0.24 
157 452 384 233 151 134 81 169 192 78 19 13 8 6 0.47 0.97 0.99 1.09 
680 76 394 319 75 197 115 69 94 163 15 14 8 6 0.63 0.34 0.58 1.3 
935 320 603 477 126 131 201 100 178 32 13 9 9 4 0.51 0.41 0.72 0.74 
256 527 477 318 159 73 41 32 152 106 12 9 10 4 0.16 0.93 0.1 0.33 
737 483 534 415 119 159 178 126 164 62 10 13 9 4 0.12 0.49 0.63 0.48 
394 22 390 276 114 50 108 67 195 184 14 9 10 5 0.88 0.98 0.95 0.57 
366 854 408 342 66 160 188 204 163 105 18 12 8 6 0.91 1 0.61 0.88 
799 780 501 418 83 72 167 101 67 160 15 11 8 5 0.85 0.71 0.6 0.41 
77 990 308 156 152 112 154 136 85 103 12 14 8 4 0.46 1.05 0.49 0.65 
605 435 600 476 124 156 187 192 200 80 10 9 8 4 0.6 0.56 0.68 1 
982 643 332 258 74 111 57 166 34 156 16 14 8 6 0.13 0.58 0.48 0.76 
142 585 384 192 192 112 67 151 171 48 13 9 9 4 0.86 0.96 1.25 1.33 
375 883 360 321 39 120 83 77 83 96 13 11 6 6 0.56 0.18 1.08 1.2 
573 957 486 324 162 38 123 108 93 81 13 15 7 5 0.66 0.79 1.16 1.41 
27 733 298 243 55 59 149 51 129 110 17 9 10 6 0.9 1.27 0.56 1.18 
812 118 408 311 97 204 182 91 80 149 18 9 7 4 0.63 0.25 1.2 0.87 
537 671 603 517 86 201 139 140 93 168 10 14 7 4 0.79 0.61 1.35 0.46 
930 941 627 520 107 173 103 35 209 122 10 9 9 6 0.85 0.82 0.61 0.55 
