20 5 2 10  1568
484 755 5018 5018 5018 5018 5018 5018 5018 5018 5018 5018 5018 0.9 0.14 0.42 0.55 1.06 1.03 
786 4 408 204 204 163 187 35 178 51 190 139 173 30 16 10 12 7 9 6 0.58 0.78 0.79 0.33 1.25 0.7 
569 538 606 531 75 90 112 127 202 98 151 87 157 119 18 9 13 8 7 6 0.39 0.94 0.75 0.57 0.26 0.75 
492 930 344 273 71 144 172 160 141 153 50 70 164 168 15 16 11 10 7 4 0.34 1.12 0.66 0.37 1.33 0.43 
576 337 402 201 201 142 46 159 104 38 82 118 72 147 19 11 12 9 7 6 0.2 0.26 0.91 1.19 0.81 1.08 
147 916 597 503 94 53 51 31 41 199 40 130 120 72 19 13 13 10 8 5 0.81 0.34 0.81 0.93 0.42 0.36 
136 435 418 332 86 70 209 180 137 176 36 178 117 207 16 14 11 9 7 4 0.37 0.25 0.37 0.46 0.75 0.63 
688 861 410 346 64 179 205 113 165 181 161 90 30 47 11 14 9 9 7 6 0.74 0.47 0.33 0.93 0.67 1.37 
984 194 398 326 72 198 59 89 38 199 123 166 113 116 16 16 8 8 7 4 0.36 0.09 0.41 0.76 0.78 0.99 
565 595 412 298 114 124 139 201 67 175 87 206 52 64 12 14 9 11 7 4 0.65 0.9 0.22 0.69 0.69 0.97 
443 712 546 369 177 85 91 83 57 148 50 79 85 182 13 14 13 9 9 4 0.53 0.34 0.14 1.32 1.09 1.05 
723 193 400 255 145 43 84 117 34 87 141 74 200 114 11 14 13 9 8 4 0.26 1.11 0.95 1.18 0.82 1.18 
93 555 600 544 56 56 117 193 154 60 78 200 158 191 14 16 11 12 7 5 0.51 0.91 0.52 0.04 0.59 0.98 
510 428 410 268 142 205 141 123 152 166 50 66 89 86 15 9 14 8 6 4 0.97 0.78 0.63 0.98 1.11 0.7 
730 421 390 230 160 184 95 88 122 38 56 68 195 103 18 15 12 8 8 4 0.07 0.58 0.87 0.28 0.54 1.4 
271 150 356 283 73 114 81 147 51 43 100 178 162 139 16 11 14 8 9 6 0.81 0.57 0.6 0.4 0.32 0.94 
882 865 624 537 87 48 207 196 208 110 38 116 111 134 18 13 10 10 6 6 0.33 0.3 0.99 0.46 0.33 0.6 
554 281 388 322 66 167 192 171 44 194 128 124 159 128 18 14 11 8 8 5 0.16 0.72 1.04 1.15 0.58 1.08 
711 114 398 199 199 167 179 117 63 165 70 134 161 49 14 14 9 10 8 5 0.26 0.18 0.43 0.49 0.36 0.88 
638 23 615 410 205 123 107 44 68 190 150 31 156 94 12 13 9 8 8 5 0.52 0.32 1.13 1.04 0.63 0.87 
488 461 504 392 112 129 158 48 96 168 132 100 32 154 14 12 10 11 8 6 0.96 0.85 0.72 0.02 0.75 0.53 
