50 2 3 3  2680
625 659 12864 12864 12864 12864 0.75 0.32 0.97 
637 125 388 194 194 144 157 12 10 6 0.06 0.77 1 
95 295 621 515 106 118 207 17 11 6 0.77 0.83 1.36 
594 769 352 242 110 176 38 14 7 6 0.1 0.88 0.53 
621 202 314 199 115 157 139 18 12 4 0.89 0.53 1.43 
331 845 376 188 188 123 96 10 12 6 0.44 1.08 0.49 
275 624 396 226 170 46 198 10 8 5 0.63 1.02 0.54 
623 757 394 229 165 197 114 18 9 6 0.84 0.73 0.83 
734 834 591 394 197 88 171 16 12 4 0.85 0.48 0.31 
481 438 585 390 195 87 34 12 10 4 0.76 0.6 0.24 
228 338 294 212 82 147 80 11 7 6 0.68 0.46 0.73 
287 203 388 194 194 131 101 19 9 5 0.24 0.9 0.56 
630 28 356 221 135 178 103 11 9 6 0.92 0.63 1.3 
506 161 378 331 47 72 189 13 10 6 0.02 0.79 1.03 
82 397 338 299 39 116 169 19 8 6 0.84 0.99 0.92 
438 574 364 223 141 86 182 18 12 5 0.54 0.7 1.07 
882 500 621 414 207 176 140 12 10 4 0.93 1.09 1.34 
220 341 627 494 133 209 64 16 9 4 0.29 1.1 1.12 
980 330 392 198 194 196 73 18 11 6 0.45 0.99 0.66 
81 878 348 174 174 51 139 16 10 6 0.94 0.28 0.99 
416 653 342 243 99 114 77 14 9 6 0.64 0.93 0.51 
937 789 360 210 150 180 69 15 12 6 0.53 1.05 0.27 
2 349 358 238 120 179 68 15 9 6 0.35 1.06 0.84 
105 299 588 533 55 160 196 11 9 5 0.14 0.95 0.54 
276 474 390 195 195 86 127 14 9 4 0.92 0.76 1.11 
765 626 450 300 150 43 85 18 13 4 0.51 0.77 0.46 
939 925 339 226 113 98 86 13 8 5 0.94 0.29 0.82 
77 914 618 472 146 89 206 18 12 5 0.69 0.54 0.41 
414 92 582 388 194 154 187 17 9 6 0.05 0.98 0.25 
820 703 372 186 186 155 115 13 10 4 0.38 0.34 0.93 
818 778 390 195 195 39 112 10 11 4 0.23 0.49 0.75 
450 310 174 128 46 58 43 14 12 5 0.86 0.82 0.64 
929 192 192 122 70 96 77 17 8 6 0.36 0.08 0.69 
105 805 591 394 197 93 115 15 10 5 0.05 0.83 1.11 
617 898 522 354 168 122 174 17 8 4 0.17 0.71 0.51 
99 797 274 137 137 119 128 18 10 5 0.45 1.1 0.32 
581 355 236 198 38 118 90 17 12 6 0.33 0.97 0.22 
105 756 334 190 144 145 167 15 10 6 0.31 1.07 0.54 
415 480 624 450 174 208 35 12 11 6 0.33 0.55 0.52 
39 754 564 422 142 188 91 18 10 5 0.84 0.63 1.21 
937 398 513 374 139 171 59 16 11 6 0.44 0.98 0.93 
164 82 394 249 145 197 159 19 12 4 0.88 0.93 0.35 
880 496 558 509 49 104 186 10 11 4 0.88 0.86 0.58 
454 973 268 158 110 41 134 13 10 6 0.14 0.87 0.61 
82 59 402 364 38 201 40 12 8 5 0.39 0.63 0.82 
839 162 300 150 150 125 70 14 11 4 0.04 0.25 1.02 
993 236 507 338 169 49 157 18 10 4 0.55 0.69 0.49 
694 758 396 198 198 69 172 15 9 6 0.72 0.43 0.98 
786 923 603 504 99 201 122 16 9 5 0.8 0.72 0.27 
764 767 339 246 93 90 113 10 8 6 0.09 1.05 0.13 
657 648 282 244 38 82 141 14 11 5 0 0.82 1.01 
