50 2 3 3  2473
412 524 11872 11872 11872 11872 0.04 1.16 0.5 
179 467 594 432 162 145 198 16 10 6 0.05 0.42 0.76 
708 998 292 146 146 55 62 11 9 4 0.45 0.46 0.64 
268 809 549 440 109 183 133 16 11 4 0.65 0.35 1.05 
621 180 399 278 121 68 133 19 7 6 0.05 0.53 0.65 
107 244 312 156 156 117 64 19 8 6 0.36 0.12 1 
414 676 387 259 128 111 129 13 12 4 0.16 0.7 0.79 
460 421 402 201 201 137 142 13 8 6 0.83 0.94 1.04 
324 777 350 253 97 175 154 16 10 6 0.85 0.74 1.1 
96 796 378 289 89 189 164 17 8 5 0.39 0.86 1.19 
906 376 618 502 116 206 54 19 10 6 0.52 0.8 1.02 
723 824 408 204 204 117 163 16 11 6 0.35 0.72 1.15 
485 268 363 242 121 30 48 17 12 4 0.89 0.25 0.89 
895 285 474 437 37 158 98 16 9 5 0.74 0.7 0.4 
765 949 597 475 122 199 159 14 10 4 0.23 0.2 0.86 
944 731 624 453 171 208 64 10 12 6 0.77 0.73 0.54 
321 141 378 300 78 189 44 17 9 5 0.17 0.18 0.28 
803 152 220 110 110 36 41 15 8 6 0.33 0.43 1.17 
668 806 248 188 60 124 63 12 13 6 0.1 0.61 0.55 
693 534 246 123 123 90 100 16 8 6 0.25 0.89 1.07 
967 719 260 148 112 110 130 11 11 5 0.96 0.64 0.83 
96 181 447 305 142 149 57 16 10 4 0.78 0.28 0.74 
580 287 230 115 115 50 88 19 10 5 0.48 0.79 0.23 
5 385 238 181 57 119 61 15 9 6 0.38 0.54 0.55 
863 104 585 435 150 40 195 17 10 6 0.7 0.19 0.33 
278 810 334 227 107 167 56 19 9 4 0.01 0.47 0.72 
197 88 284 170 114 124 142 13 11 5 0.85 0.6 0.71 
757 960 624 500 124 208 84 15 8 6 0.13 0.48 0.72 
89 175 540 435 105 50 180 18 10 4 0.86 0.41 0.6 
633 831 294 171 123 93 147 11 11 5 0.36 1.02 0.61 
736 483 416 208 208 132 112 19 7 5 0.55 1.14 0.3 
766 109 390 329 61 141 195 18 9 5 0.94 0.35 1.28 
667 976 310 181 129 119 155 11 8 5 0.57 0.95 0.93 
349 110 609 503 106 33 203 10 12 4 0.43 0.51 1.28 
226 99 342 171 171 82 91 19 8 4 0.28 0.37 0.54 
915 936 374 218 156 187 54 19 9 4 0.22 0.4 0.43 
497 787 549 366 183 43 101 11 10 4 0.28 0.75 0.51 
678 59 444 296 148 87 70 17 8 5 0.51 0.97 0.31 
222 751 380 268 112 35 190 11 10 5 0.79 0.11 0.99 
124 336 252 188 64 84 48 17 11 6 0.08 0.38 0.34 
613 268 582 388 194 57 37 12 12 5 0.76 0.8 0.33 
580 787 282 188 94 74 73 15 12 6 0.21 0.72 0.41 
169 205 292 146 146 136 120 12 12 4 0.47 0.87 0.7 
75 355 603 402 201 84 132 11 12 4 0.04 0.63 0.49 
895 678 555 370 185 70 100 11 12 6 0.04 0.45 0.95 
849 698 198 99 99 86 84 15 11 6 0.28 1.27 0.02 
814 793 268 220 48 106 134 16 9 4 0.94 1.02 0.45 
875 58 294 178 116 86 147 17 9 6 0.25 0.62 0.68 
732 721 356 274 82 178 43 11 11 4 0.34 0.94 0.69 
956 977 570 406 164 84 190 13 12 6 0.3 1.21 0.85 
757 174 310 155 155 90 90 17 11 4 0.44 0.78 0.74 
