30 5 2 10  2319
390 740 7422 7422 7422 7422 7422 7422 7422 7422 7422 7422 7422 0.14 0.83 0.48 0.93 0.82 1.17 
821 406 555 386 169 155 125 184 114 95 185 164 142 109 10 16 12 9 8 4 0.59 0.91 0.88 1.04 0.73 1.44 
829 419 410 365 45 75 187 177 176 148 195 205 68 147 18 17 12 8 7 5 0.65 0.83 0.7 1.2 0.6 0.81 
900 732 412 252 160 73 142 97 123 131 89 206 189 199 13 12 13 10 8 6 0.07 0.87 0.15 1.27 0.77 0.78 
736 703 573 536 37 45 111 78 83 191 130 70 151 175 12 15 10 8 6 4 0.54 0.14 1.14 1.05 0.48 0.68 
336 447 402 201 201 153 49 39 108 146 54 48 60 77 16 11 9 9 7 5 0.62 0.95 0.28 0.65 0.83 0.6 
722 946 498 359 139 31 143 58 85 71 165 36 166 94 12 13 13 10 8 4 0.78 0.51 1.14 0.46 0.22 0.4 
629 620 540 488 52 180 133 116 145 128 74 85 158 148 19 14 12 10 8 6 0.91 0.12 1.39 0.66 0.28 0.5 
322 349 597 483 114 109 109 53 42 138 145 199 149 105 10 17 9 10 7 6 0.13 0.3 0.84 0.58 0.81 1.27 
890 124 410 245 165 205 188 112 170 31 141 84 136 161 14 9 12 11 8 6 0.04 0.42 0.8 0.52 0.61 0.84 
150 236 561 499 62 119 37 65 41 187 149 55 123 44 16 10 14 11 7 4 0.24 0.81 0.47 0.56 0.52 0.77 
121 462 624 446 178 54 181 192 191 63 201 208 187 77 18 10 9 9 7 4 0.82 0.53 0.6 0.3 1 0.63 
277 347 326 163 163 107 68 82 147 69 84 116 64 105 10 9 13 8 7 6 0.64 0.38 0.35 0.9 0.44 0.92 
126 605 621 425 196 155 84 91 180 81 98 207 138 80 17 14 9 11 6 4 0.13 0.87 1.28 0.45 1 0.8 
689 316 609 434 175 110 54 46 47 72 203 163 45 182 10 13 14 8 7 6 0.89 0.48 1.2 0.42 0.19 1.35 
626 714 388 262 126 148 183 98 150 124 134 188 194 166 13 13 10 9 8 6 0.32 0.46 0.3 0.14 1.04 0.41 
938 465 316 229 87 39 131 44 96 158 150 97 122 93 17 16 9 7 7 5 0.05 1.1 0.96 1.07 1.07 0.6 
692 875 340 295 45 46 155 161 91 33 46 104 170 113 14 14 10 8 8 5 0.55 0.9 0.98 0.3 0.64 0.75 
285 528 585 432 153 96 46 108 195 58 76 55 185 120 18 14 12 10 7 5 0.46 0.88 0.86 1.1 0.88 1.04 
776 760 340 260 80 54 33 42 105 170 70 157 157 31 15 13 13 8 9 6 0.5 0.74 0.59 0.47 1.1 0.03 
519 933 543 371 172 122 43 173 73 111 125 40 161 181 14 16 11 10 7 4 0.7 0.38 0.72 0.71 1.44 1.19 
460 472 342 171 171 132 78 142 138 157 148 167 140 64 13 9 9 10 7 5 0.24 0.97 1.29 0.23 1.32 0.55 
229 235 412 264 148 189 82 54 105 102 206 92 78 140 15 15 9 7 6 4 0.14 0.9 0.95 1.09 0.86 1.49 
74 823 378 265 113 148 139 43 126 189 150 65 155 35 18 14 11 7 8 6 0.98 0.58 1.15 1.12 0.47 0.83 
603 656 603 564 39 113 55 96 168 201 180 70 111 138 17 16 14 10 7 4 0.24 0.66 0.49 0.98 0.88 0.45 
849 49 412 352 60 93 66 41 41 122 109 97 206 156 11 16 14 10 7 5 0.37 0.89 0.61 0.62 0.5 0.35 
428 699 609 447 162 78 121 160 203 102 70 37 179 53 19 17 10 7 7 5 0.56 0.52 1.19 0.09 0.16 0.61 
252 936 280 234 46 43 80 69 55 108 140 115 76 89 10 16 9 10 6 6 0.69 1.11 0.95 0.33 0.36 0.98 
468 522 400 219 181 150 171 112 200 183 168 192 172 181 14 16 8 10 8 5 0.65 0.84 0.3 0.47 0.46 0.2 
677 193 418 259 159 209 150 182 160 91 36 150 196 160 10 14 13 10 9 4 0.83 0.52 0.56 0.75 0.38 0.89 
163 807 612 414 198 52 204 200 44 93 153 174 156 175 16 10 9 9 8 4 0.16 1.04 0.97 1.28 0.44 0.4 
